"Date","Price","Open","High","Low","Vol.","Change %"
"12/25/2022","26,094.50","26,299.54","26,620.49","25,953.92","2.75B","-0.54%"
"12/18/2022","26,235.25","27,279.92","27,349.58","26,106.38","4.45B","-4.69%"
"12/11/2022","27,527.12","27,741.10","28,195.69","27,488.83","2.91B","-1.34%"
"12/04/2022","27,901.01","27,752.99","27,952.80","27,415.66","3.22B","0.44%"
"11/27/2022","27,777.90","28,220.56","28,423.46","27,662.12","3.87B","-1.79%"
"11/20/2022","28,283.03","27,982.00","28,502.29","27,846.30","2.73B","1.37%"
"11/13/2022","27,899.77","28,277.64","28,305.04","27,743.15","3.53B","-1.29%"
"11/06/2022","28,263.57","27,406.78","28,329.54","27,357.53","4.23B","3.91%"
"10/30/2022","27,199.74","27,404.30","27,692.55","27,032.02","3.41B","0.35%"
"10/23/2022","27,105.20","27,233.00","27,578.05","26,974.90","3.92B","0.80%"
"10/16/2022","26,890.58","26,785.02","27,371.38","26,649.13","3.06B","-0.74%"
"10/09/2022","27,090.76","26,757.12","27,180.16","26,237.42","2.89B","-0.09%"
"10/02/2022","27,116.11","25,778.95","27,399.19","25,621.96","3.77B","4.55%"
"09/25/2022","25,937.21","26,779.44","26,779.44","25,805.59","4.46B","-4.48%"
"09/18/2022","27,153.83","27,788.68","27,907.45","26,955.18","1.88B","-1.50%"
"09/11/2022","27,567.65","28,483.59","28,659.76","27,525.68","3.03B","-2.29%"
"09/04/2022","28,214.75","27,567.29","28,286.02","27,268.70","3.12B","2.04%"
"08/28/2022","27,650.84","28,161.06","28,233.80","27,570.74","3.39B","-3.46%"
"08/21/2022","28,641.38","28,654.07","28,828.21","28,282.21","2.70B","-1.00%"
"08/14/2022","28,930.33","28,623.78","29,222.77","28,623.78","2.66B","1.34%"
"08/07/2022","28,546.98","28,050.09","28,546.98","27,729.46","2.81B","1.32%"
"07/31/2022","28,175.87","27,813.82","28,190.04","27,530.60","3.70B","1.35%"
"07/24/2022","27,801.64","27,697.77","28,015.68","27,525.09","3.10B","-0.40%"
"07/17/2022","27,914.66","27,003.83","27,952.25","26,791.71","2.43B","4.20%"
"07/10/2022","26,788.47","26,892.73","27,062.17","26,278.28","3.13B","1.02%"
"07/03/2022","26,517.19","26,086.78","26,881.75","25,945.83","3.91B","2.24%"
"06/26/2022","25,935.62","26,741.80","27,062.31","25,841.75","4.08B","-2.10%"
"06/19/2022","26,491.97","26,156.62","26,519.16","25,520.23","3.42B","2.04%"
"06/12/2022","25,963.00","27,369.66","27,389.30","25,720.80","4.02B","-6.69%"
"06/05/2022","27,824.29","27,549.64","28,389.75","27,523.95","3.64B","0.23%"
"05/29/2022","27,761.57","27,092.82","27,776.33","27,057.20","4.42B","3.66%"
"05/22/2022","26,781.68","26,991.42","27,047.47","26,578.03","3.39B","0.16%"
"05/15/2022","26,739.03","26,753.37","27,053.18","26,150.09","3.91B","1.18%"
"05/08/2022","26,427.65","26,705.32","26,732.61","25,688.11","4.41B","-2.13%"
"05/01/2022","27,003.56","26,851.10","27,072.59","26,543.29","1.73B","0.58%"
"04/24/2022","26,847.90","26,692.48","26,876.95","26,051.04","3.11B","-0.95%"
"04/17/2022","27,105.26","26,831.45","27,580.64","26,571.38","3.02B","0.04%"
"04/10/2022","27,093.19","26,877.60","27,203.77","26,304.08","3.34B","0.40%"
"04/03/2022","26,985.80","27,685.65","27,965.94","26,764.36","3.32B","-2.46%"
"03/27/2022","27,665.98","28,084.08","28,281.45","27,399.48","3.72B","-1.72%"
"03/20/2022","28,149.84","27,091.32","28,338.81","27,076.33","3.25B","4.93%"
"03/13/2022","26,827.43","25,338.64","26,862.43","25,219.13","4.26B","6.62%"
"03/06/2022","25,162.78","25,634.09","25,720.31","24,681.74","4.96B","-3.17%"
"02/27/2022","25,985.47","26,457.52","27,013.26","25,774.28","4.21B","-1.85%"
"02/20/2022","26,476.50","26,771.58","26,998.47","25,775.64","2.91B","-2.38%"
"02/13/2022","27,122.07","27,305.92","27,486.09","26,724.91","3.51B","-2.07%"
"02/06/2022","27,696.08","27,327.63","27,880.70","27,085.32","3.30B","0.93%"
"01/30/2022","27,439.99","26,690.60","27,564.62","26,541.65","4.05B","2.70%"
"01/23/2022","26,717.34","27,258.45","27,627.60","26,044.52","3.63B","-2.92%"
"01/16/2022","27,522.26","28,332.72","28,690.34","27,129.61","3.57B","-2.14%"
"01/09/2022","28,124.28","28,380.90","28,814.31","27,889.21","2.98B","-1.24%"
"01/02/2022","28,478.56","29,098.41","29,388.16","28,293.70","2.91B","-1.09%"
"12/26/2021","28,791.71","28,786.33","29,121.01","28,579.49","1.70B","0.03%"
"12/19/2021","28,782.59","28,325.46","28,870.13","27,893.18","2.45B","0.83%"
"12/12/2021","28,545.68","28,705.26","29,070.08","28,309.67","3.09B","0.38%"
"12/05/2021","28,437.77","28,069.96","28,908.29","27,693.91","3.30B","1.46%"
"11/28/2021","28,029.57","28,337.96","28,776.34","27,588.61","4.57B","-2.51%"
"11/21/2021","28,751.62","29,618.55","29,806.49","28,605.61","2.52B","-3.34%"
"11/14/2021","29,745.87","29,807.37","29,960.93","29,402.57","3.17B","0.46%"
"11/07/2021","29,609.97","29,735.45","29,750.46","29,040.08","3.26B","-0.01%"
"10/31/2021","29,611.57","29,330.68","29,880.81","29,267.63","3.12B","2.49%"
"10/24/2021","28,892.69","28,527.13","29,160.76","28,472.55","4.53B","0.30%"
"10/17/2021","28,804.85","29,093.82","29,489.11","28,546.57","3.06B","-0.91%"
"10/10/2021","29,068.63","27,977.57","29,082.35","27,893.32","3.34B","3.64%"
"10/03/2021","28,048.94","29,044.47","29,046.06","27,293.62","4.27B","-2.51%"
"09/26/2021","28,771.07","30,277.82","30,414.61","28,680.73","4.40B","-4.89%"
"09/19/2021","30,248.81","30,021.25","30,276.38","29,573.88","2.30B","-0.82%"
"09/12/2021","30,500.05","30,372.02","30,795.78","30,202.51","3.80B","0.39%"
"09/05/2021","30,381.84","29,501.22","30,381.84","29,469.35","3.94B","4.30%"
"08/29/2021","29,128.11","27,867.60","29,149.65","27,602.21","3.34B","5.38%"
"08/22/2021","27,641.14","27,193.10","27,897.72","27,193.10","2.63B","2.32%"
"08/15/2021","27,013.25","27,806.11","27,833.21","26,954.81","2.98B","-3.45%"
"08/08/2021","27,977.15","27,887.03","28,279.80","27,808.54","2.42B","0.56%"
"08/01/2021","27,820.04","27,493.32","27,888.87","27,488.74","2.98B","1.97%"
"07/25/2021","27,283.59","27,990.47","28,036.47","27,272.49","3.02B","-0.96%"
"07/18/2021","27,548.00","27,663.40","27,882.43","27,330.15","1.64B","-1.63%"
"07/11/2021","28,003.08","28,412.70","28,852.31","27,847.35","2.64B","0.22%"
"07/04/2021","27,940.42","28,709.57","28,748.23","27,419.40","2.85B","-2.93%"
"06/27/2021","28,783.28","29,112.66","29,121.28","28,624.80","2.55B","-0.97%"
"06/20/2021","29,066.18","28,506.84","29,174.17","27,795.86","2.91B","0.35%"
"06/13/2021","28,964.08","29,153.11","29,480.85","28,875.39","2.98B","0.05%"
"06/06/2021","28,948.73","29,214.00","29,241.20","28,799.74","2.76B","0.02%"
"05/30/2021","28,941.52","29,019.45","29,157.16","28,565.83","2.86B","-0.71%"
"05/23/2021","29,149.41","28,212.32","29,194.11","28,212.32","3.92B","2.94%"
"05/16/2021","28,317.83","28,310.46","28,481.17","27,632.53","3.23B","0.83%"
"05/09/2021","28,084.47","29,376.89","29,685.41","27,385.03","3.83B","-4.34%"
"05/02/2021","29,357.82","29,024.01","29,449.86","28,966.47","1.62B","1.89%"
"04/25/2021","28,812.63","29,095.49","29,241.28","28,760.27","2.48B","-0.72%"
"04/18/2021","29,020.63","29,688.32","29,808.01","28,419.84","2.78B","-2.23%"
"04/11/2021","29,683.37","29,874.43","29,897.11","29,538.73","2.62B","-0.28%"
"04/04/2021","29,768.06","30,084.61","30,208.89","29,516.42","3.10B","-0.29%"
"03/28/2021","29,854.00","29,478.12","29,869.67","29,165.52","4.03B","2.32%"
"03/21/2021","29,176.70","29,444.10","29,496.83","28,379.06","4.00B","-2.07%"
"03/14/2021","29,792.05","29,804.50","30,485.00","29,621.22","4.76B","0.25%"
"03/07/2021","29,717.83","29,208.19","29,744.32","28,609.21","4.47B","2.96%"
"02/28/2021","28,864.32","29,419.45","29,996.39","28,308.57","3.63B","-0.35%"
"02/21/2021","28,966.01","30,281.78","30,458.13","28,966.01","3.05B","-3.50%"
"02/14/2021","30,017.92","29,662.41","30,714.52","29,662.41","3.68B","1.69%"
"02/07/2021","29,520.07","28,831.58","29,650.51","28,817.60","3.41B","2.57%"
"01/31/2021","28,779.19","27,649.07","28,785.71","27,649.07","3.91B","4.03%"
"01/24/2021","27,663.39","28,698.89","28,822.29","27,629.80","4.06B","-3.38%"
"01/17/2021","28,631.45","28,238.68","28,846.15","28,111.54","3.14B","0.39%"
"01/10/2021","28,519.18","28,004.37","28,979.53","27,899.45","3.06B","1.35%"
"01/03/2021","28,139.03","27,575.57","28,139.03","27,002.18","3.63B","2.53%"
"12/27/2020","27,444.17","26,691.29","27,602.52","26,664.60","1.61B","2.95%"
"12/20/2020","26,656.61","26,834.10","26,905.67","26,361.66","2.57B","-0.40%"
"12/13/2020","26,763.39","26,659.53","26,874.98","26,605.54","3.16B","0.42%"
"12/06/2020","26,652.52","26,894.25","26,894.25","26,327.08","3.23B","-0.37%"
"11/29/2020","26,751.24","26,830.10","26,889.90","26,405.83","4.32B","0.40%"
"11/22/2020","26,644.71","25,901.45","26,706.42","25,901.45","3.24B","4.38%"
"11/15/2020","25,527.37","25,652.69","26,057.30","25,425.59","3.84B","0.56%"
"11/08/2020","25,385.87","24,568.84","25,587.96","24,541.28","4.56B","4.36%"
"11/01/2020","24,325.23","23,110.74","24,389.00","23,096.79","3.03B","5.87%"
"10/25/2020","22,977.13","23,520.78","23,572.60","22,948.47","2.96B","-2.29%"
"10/18/2020","23,516.59","23,543.69","23,707.16","23,436.17","2.42B","0.45%"
"10/11/2020","23,410.63","23,588.74","23,667.90","23,382.67","2.43B","-0.89%"
"10/04/2020","23,619.69","23,254.28","23,725.58","23,252.69","2.82B","2.56%"
"09/27/2020","23,029.90","23,391.96","23,622.74","22,951.41","3.18B","-0.75%"
"09/20/2020","23,204.62","23,245.89","23,370.13","23,039.48","2.20B","-0.67%"
"09/13/2020","23,360.30","23,431.16","23,582.21","23,272.23","3.34B","-0.20%"
"09/06/2020","23,406.49","23,145.47","23,412.93","22,878.71","3.48B","0.87%"
"08/30/2020","23,205.43","23,147.14","23,580.51","23,047.77","3.10B","1.41%"
"08/23/2020","22,882.65","22,913.20","23,431.04","22,594.79","3.14B","-0.16%"
"08/16/2020","22,920.30","23,189.48","23,248.75","22,851.83","2.51B","-1.58%"
"08/09/2020","23,289.36","22,505.51","23,338.79","22,497.07","3.35B","4.30%"
"08/02/2020","22,329.94","21,947.58","22,603.82","21,919.83","3.76B","2.86%"
"07/26/2020","21,710.00","22,495.95","22,842.19","21,710.00","3.98B","-4.58%"
"07/19/2020","22,751.61","22,772.07","22,925.58","22,580.19","1.84B","0.24%"
"07/12/2020","22,696.42","22,591.81","22,965.56","22,538.78","3.50B","1.82%"
"07/05/2020","22,290.81","22,341.27","22,742.28","22,285.07","3.30B","-0.07%"
"06/28/2020","22,306.48","22,255.05","22,448.30","21,969.59","3.40B","-0.91%"
"06/21/2020","22,512.08","22,353.69","22,693.89","22,165.14","3.40B","0.15%"
"06/14/2020","22,478.79","22,135.27","22,624.14","21,529.83","4.13B","0.78%"
"06/07/2020","22,305.48","23,121.98","23,185.85","21,786.93","5.02B","-2.44%"
"05/31/2020","22,863.73","21,910.89","22,907.92","21,898.99","4.22B","4.51%"
"05/24/2020","21,877.89","20,653.41","21,955.44","20,584.06","5.42B","7.31%"
"05/17/2020","20,388.16","20,097.62","20,734.91","19,999.10","3.71B","1.75%"
"05/10/2020","20,037.47","20,333.73","20,534.88","19,832.88","3.75B","-0.70%"
"05/03/2020","20,179.09","19,468.52","20,179.09","19,448.93","1.65B","2.85%"
"04/26/2020","19,619.35","19,410.84","20,365.89","19,410.18","3.36B","1.86%"
"04/19/2020","19,262.00","19,689.85","19,784.38","18,858.25","3.78B","-3.19%"
"04/12/2020","19,897.26","19,312.04","19,922.07","19,014.32","4.11B","2.05%"
"04/05/2020","19,498.50","17,857.99","19,500.07","17,802.62","4.90B","9.42%"
"03/29/2020","17,820.19","18,884.07","19,336.19","17,646.50","5.52B","-8.09%"
"03/22/2020","19,389.43","16,570.57","19,564.38","16,480.95","7.42B","17.14%"
"03/15/2020","16,552.83","17,586.08","17,785.76","16,358.19","7.33B","-5.04%"
"03/08/2020","17,431.05","20,343.31","20,347.19","16,690.60","8.62B","-15.99%"
"03/01/2020","20,749.75","20,849.79","21,719.78","20,613.91","5.21B","-1.86%"
"02/23/2020","21,142.96","22,949.37","22,950.23","20,916.40","4.60B","-9.59%"
"02/16/2020","23,386.74","23,489.78","23,806.56","23,133.60","3.00B","-1.27%"
"02/09/2020","23,687.59","23,631.79","23,908.85","23,603.48","2.65B","-0.59%"
"02/02/2020","23,827.98","22,874.27","23,995.37","22,775.92","3.71B","2.68%"
"01/26/2020","23,205.18","23,427.90","23,463.89","22,892.95","3.27B","-2.61%"
"01/19/2020","23,827.18","24,080.68","24,108.11","23,755.32","2.36B","-0.89%"
"01/12/2020","24,041.26","23,969.04","24,115.95","23,875.82","2.36B","0.80%"
"01/05/2020","23,850.57","23,319.76","23,903.29","22,951.18","3.35B","0.82%"
"12/29/2019","23,656.62","23,770.93","23,782.49","23,656.62","415.90M","-0.76%"
"12/22/2019","23,837.72","23,921.29","23,967.18","23,775.40","2.00B","0.09%"
"12/15/2019","23,816.63","23,955.20","24,091.12","23,746.63","3.10B","-0.86%"
"12/08/2019","24,023.10","23,544.31","24,050.04","23,333.63","3.42B","2.86%"
"12/01/2019","23,354.40","23,388.63","23,562.05","23,044.78","2.80B","0.26%"
"11/24/2019","23,293.91","23,292.85","23,608.06","23,255.39","2.94B","0.78%"
"11/17/2019","23,112.88","23,304.25","23,420.62","22,726.71","3.13B","-0.82%"
"11/10/2019","23,303.32","23,422.13","23,545.70","23,062.16","3.40B","-0.38%"
"11/03/2019","23,391.87","23,118.79","23,591.09","23,090.94","3.45B","2.37%"
"10/27/2019","22,850.77","22,854.44","23,008.43","22,705.60","3.66B","0.22%"
"10/20/2019","22,799.81","22,541.22","22,819.92","22,457.89","2.35B","1.37%"
"10/13/2019","22,492.68","22,063.71","22,649.85","22,049.71","2.70B","3.18%"
"10/06/2019","21,798.87","21,445.73","21,820.77","21,308.88","2.91B","1.82%"
"09/29/2019","21,410.20","21,793.83","21,938.77","21,276.01","3.21B","-2.14%"
"09/22/2019","21,878.90","22,095.35","22,184.91","21,733.69","2.88B","-0.91%"
"09/15/2019","22,079.09","21,947.59","22,255.56","21,878.63","3.14B","0.41%"
"09/08/2019","21,988.29","21,214.56","22,019.66","21,182.26","4.73B","3.72%"
"09/01/2019","21,199.57","20,625.75","21,241.29","20,554.16","2.93B","2.39%"
"08/25/2019","20,704.37","20,325.44","20,748.35","20,173.76","3.09B","-0.03%"
"08/18/2019","20,710.91","20,590.47","20,731.19","20,482.62","2.59B","1.43%"
"08/11/2019","20,418.81","20,432.68","20,697.42","20,184.85","2.60B","-1.29%"
"08/04/2019","20,684.82","20,909.98","20,941.83","20,110.76","3.89B","-1.91%"
"07/28/2019","21,087.16","21,627.55","21,792.98","20,960.09","3.56B","-2.64%"
"07/21/2019","21,658.15","21,394.75","21,823.07","21,317.85","2.48B","0.89%"
"07/14/2019","21,466.99","21,644.38","21,655.52","20,993.44","2.38B","-1.01%"
"07/07/2019","21,685.90","21,665.79","21,720.14","21,488.22","2.68B","-0.28%"
"06/30/2019","21,746.38","21,566.27","21,784.22","21,559.17","2.67B","2.21%"
"06/23/2019","21,275.92","21,223.56","21,338.17","21,035.84","2.79B","0.08%"
"06/16/2019","21,258.64","21,094.96","21,497.82","20,924.19","3.22B","0.67%"
"06/09/2019","21,116.89","21,095.40","21,259.70","20,932.13","3.02B","1.11%"
"06/02/2019","20,884.71","20,327.87","20,907.77","20,289.64","3.29B","1.38%"
"05/26/2019","20,601.19","21,148.46","21,297.70","20,581.58","3.59B","-2.44%"
"05/19/2019","21,117.22","21,305.97","21,430.06","20,922.00","3.42B","-0.63%"
"05/12/2019","21,250.09","21,180.74","21,398.85","20,751.45","4.19B","-0.44%"
"05/05/2019","21,344.92","22,184.40","22,190.49","21,175.33","3.83B","-4.11%"
"04/21/2019","22,258.73","22,188.62","22,362.92","22,073.10","3.07B","0.26%"
"04/14/2019","22,200.56","22,122.97","22,345.19","22,058.39","3.24B","1.51%"
"04/07/2019","21,870.56","21,900.55","21,900.55","21,571.67","2.99B","0.29%"
"03/31/2019","21,807.50","21,500.89","21,839.18","21,471.12","3.44B","2.84%"
"03/24/2019","21,205.81","21,267.41","21,460.99","20,911.57","4.00B","-1.95%"
"03/17/2019","21,627.34","21,576.36","21,713.26","21,425.79","2.67B","0.82%"
"03/10/2019","21,450.85","21,062.75","21,568.48","20,938.00","3.47B","2.02%"
"03/03/2019","21,025.56","21,812.81","21,860.39","20,993.07","3.61B","-2.67%"
"02/24/2019","21,602.69","21,567.66","21,641.58","21,364.09","3.19B","0.83%"
"02/17/2019","21,425.51","21,217.32","21,553.35","21,189.97","3.05B","2.51%"
"02/10/2019","20,900.63","20,442.55","21,235.62","20,428.57","3.02B","2.79%"
"02/03/2019","20,333.17","20,831.90","20,981.23","20,315.31","3.69B","-2.19%"
"01/27/2019","20,788.39","20,746.29","20,929.63","20,406.22","3.61B","0.07%"
"01/20/2019","20,773.56","20,848.38","20,892.68","20,438.22","3.17B","0.52%"
"01/13/2019","20,666.07","20,264.82","20,682.12","20,204.43","2.85B","1.50%"
"01/06/2019","20,359.70","19,944.61","20,494.35","19,920.80","4.04B","4.08%"
"12/30/2018","19,561.96","19,655.13","19,692.58","19,241.37","943.71M","-2.26%"
"12/23/2018","20,014.77","19,785.43","20,211.57","18,948.58","3.49B","-0.75%"
"12/16/2018","20,166.19","21,391.73","21,563.27","20,006.67","4.52B","-5.65%"
"12/09/2018","21,374.83","21,319.47","21,871.34","21,062.31","4.52B","-1.40%"
"12/02/2018","21,678.68","22,629.39","22,698.79","21,307.72","4.22B","-3.01%"
"11/25/2018","22,351.06","21,647.69","22,437.95","21,622.60","4.15B","3.25%"
"11/18/2018","21,646.55","21,679.03","21,852.92","21,243.38","3.07B","-0.16%"
"11/11/2018","21,680.34","22,121.70","22,324.01","21,484.65","3.88B","-2.56%"
"11/04/2018","22,250.25","22,002.47","22,583.43","21,865.98","4.20B","0.03%"
"10/28/2018","22,243.66","21,323.61","22,308.42","21,035.88","5.12B","5.00%"
"10/21/2018","21,184.60","22,374.21","22,672.25","20,971.93","4.26B","-5.98%"
"10/14/2018","22,532.08","22,501.33","22,959.41","22,212.57","3.65B","-0.72%"
"10/07/2018","22,694.66","23,550.47","23,589.38","22,323.43","3.84B","-4.58%"
"09/30/2018","23,783.72","24,173.37","24,448.07","23,730.19","4.03B","-1.39%"
"09/23/2018","24,120.04","23,881.85","24,286.10","23,778.04","3.63B","1.05%"
"09/16/2018","23,869.93","23,042.19","23,971.41","23,039.26","4.19B","3.36%"
"09/09/2018","23,094.67","22,253.65","23,105.28","22,249.61","4.02B","3.53%"
"09/02/2018","22,307.06","22,819.17","22,820.48","22,172.90","3.09B","-2.44%"
"08/26/2018","22,865.15","22,693.69","23,032.17","22,678.03","3.21B","1.17%"
"08/19/2018","22,601.77","22,267.07","22,602.24","22,053.14","2.67B","1.49%"
"08/12/2018","22,270.38","22,117.57","22,380.28","21,851.32","3.43B","-0.12%"
"08/05/2018","22,298.08","22,536.05","22,800.61","22,272.69","3.56B","-1.01%"
"07/29/2018","22,525.18","22,613.30","22,775.47","22,352.21","4.73B","-0.83%"
"07/22/2018","22,712.75","22,480.33","22,717.15","22,341.87","3.71B","0.07%"
"07/15/2018","22,697.88","22,605.73","22,949.32","22,541.35","2.73B","0.44%"
"07/08/2018","22,597.35","21,838.53","22,692.86","21,744.25","3.75B","3.71%"
"07/01/2018","21,788.14","22,233.80","22,312.25","21,462.95","3.55B","-2.32%"
"06/24/2018","22,304.51","22,543.56","22,556.55","22,038.40","3.46B","-0.94%"
"06/17/2018","22,516.83","22,806.57","22,806.89","22,167.16","4.07B","-1.47%"
"06/10/2018","22,851.75","22,686.95","23,011.57","22,667.30","3.48B","0.69%"
"06/03/2018","22,694.50","22,365.09","22,879.00","22,355.83","3.74B","2.36%"
"05/27/2018","22,171.35","22,488.95","22,547.67","21,931.65","4.31B","-1.24%"
"05/20/2018","22,450.79","22,937.58","23,050.39","22,318.15","3.60B","-2.09%"
"05/13/2018","22,930.36","22,705.30","22,954.19","22,683.64","3.88B","0.76%"
"05/06/2018","22,758.48","22,513.22","22,769.16","22,350.91","3.98B","1.27%"
"04/29/2018","22,472.78","22,453.42","22,568.19","22,411.43","1.66B","0.02%"
"04/22/2018","22,467.87","22,157.88","22,495.56","22,065.52","3.88B","1.38%"
"04/15/2018","22,162.24","21,843.55","22,360.65","21,772.42","3.41B","1.76%"
"04/08/2018","21,778.74","21,534.33","21,933.99","21,517.77","3.48B","0.98%"
"04/01/2018","21,567.52","21,441.57","21,742.84","21,056.02","3.53B","0.53%"
"03/25/2018","21,454.30","20,423.37","21,512.80","20,347.49","4.43B","4.06%"
"03/18/2018","20,617.86","21,537.90","21,659.04","20,559.61","3.48B","-4.88%"
"03/11/2018","21,676.51","21,826.10","21,971.16","21,555.49","3.55B","0.97%"
"03/04/2018","21,469.20","21,047.81","21,884.45","20,937.26","4.47B","1.36%"
"02/25/2018","21,181.64","22,134.64","22,502.05","21,088.96","4.28B","-3.25%"
"02/18/2018","21,892.78","21,903.66","22,152.85","21,626.85","3.67B","0.79%"
"02/11/2018","21,720.25","21,633.34","21,866.37","20,950.15","3.95B","1.58%"
"02/04/2018","21,382.62","22,921.16","22,967.69","21,078.71","6.94B","-8.13%"
"01/28/2018","23,274.53","23,707.14","23,787.23","23,092.85","4.72B","-1.51%"
"01/21/2018","23,631.88","23,797.84","24,129.34","23,592.28","3.99B","-0.74%"
"01/14/2018","23,808.06","23,827.98","24,084.42","23,685.02","4.10B","0.65%"
"01/07/2018","23,653.82","23,948.97","23,952.61","23,588.07","3.71B","-0.26%"
"12/31/2017","23,714.53","23,073.73","23,730.47","23,065.20","2.11B","4.17%"
"12/24/2017","22,764.94","22,909.41","22,954.45","22,736.43","2.41B","-0.60%"
"12/17/2017","22,902.76","22,770.44","22,990.42","22,728.06","4.11B","1.55%"
"12/10/2017","22,553.22","22,894.30","22,994.33","22,478.32","4.45B","-1.13%"
"12/03/2017","22,811.08","22,843.53","22,864.33","22,119.21","4.42B","-0.03%"
"11/26/2017","22,819.03","22,657.08","22,994.31","22,363.94","4.79B","1.19%"
"11/19/2017","22,550.85","22,279.98","22,677.34","22,215.07","3.03B","0.69%"
"11/12/2017","22,396.80","22,607.56","22,757.40","21,972.34","5.23B","-1.25%"
"11/05/2017","22,681.42","22,612.96","23,382.15","22,435.34","6.05B","0.63%"
"10/29/2017","22,539.12","22,047.95","22,540.25","21,840.07","4.71B","2.41%"
"10/22/2017","22,008.45","21,709.30","22,016.50","21,614.51","5.16B","2.57%"
"10/15/2017","21,457.64","21,221.27","21,503.85","21,187.93","4.51B","1.43%"
"10/08/2017","21,155.18","20,680.54","21,211.29","20,663.08","3.60B","2.24%"
"10/01/2017","20,690.71","20,400.51","20,721.15","20,363.28","3.58B","1.64%"
"09/24/2017","20,356.28","20,439.43","20,454.29","20,213.66","4.23B","0.29%"
"09/17/2017","20,296.45","20,128.18","20,481.27","20,122.00","4.46B","1.94%"
"09/10/2017","19,909.50","19,441.39","19,933.40","19,437.14","4.73B","3.29%"
"09/03/2017","19,274.82","19,615.96","19,628.40","19,239.52","4.39B","-2.12%"
"08/27/2017","19,691.47","19,502.23","19,735.96","19,280.02","4.26B","1.23%"
"08/20/2017","19,452.61","19,509.53","19,561.32","19,351.92","3.82B","-0.09%"
"08/13/2017","19,470.41","19,545.58","19,824.12","19,433.09","4.49B","-1.31%"
"08/06/2017","19,729.74","20,059.29","20,085.90","19,660.22","3.76B","-1.12%"
"07/30/2017","19,952.33","19,933.45","20,113.73","19,891.90","5.28B","-0.04%"
"07/23/2017","19,959.84","19,973.67","20,176.39","19,901.88","4.49B","-0.70%"
"07/16/2017","20,099.75","20,074.41","20,157.11","19,943.14","3.44B","-0.09%"
"07/09/2017","20,118.86","20,070.44","20,200.88","20,023.03","4.31B","0.95%"
"07/02/2017","19,929.09","20,056.32","20,197.16","19,856.65","4.77B","-0.52%"
"06/25/2017","20,033.43","20,132.81","20,266.59","19,946.51","5.34B","-0.49%"
"06/18/2017","20,132.67","19,974.30","20,318.11","19,949.88","4.53B","0.95%"
"06/11/2017","19,943.26","19,920.77","20,015.16","19,755.34","5.61B","-0.35%"
"06/04/2017","20,013.26","20,135.42","20,224.54","19,896.35","5.89B","-0.81%"
"05/28/2017","20,177.28","19,697.18","20,239.81","19,570.13","5.35B","2.49%"
"05/21/2017","19,686.84","19,670.48","19,850.93","19,585.54","4.56B","0.49%"
"05/14/2017","19,590.76","19,753.46","19,998.49","19,449.73","6.48B","-1.47%"
"05/07/2017","19,883.90","19,709.01","19,989.94","19,705.13","6.95B","2.25%"
"04/30/2017","19,445.70","19,154.03","19,464.30","19,144.62","2.26B","1.30%"
"04/23/2017","19,196.74","18,890.38","19,289.43","18,840.13","5.98B","3.09%"
